City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,acapulco de juarez,16.8634,-99.8901,28.9,84,100,4.63,MX,1718607766
130,newman,37.3138,-121.0208,21.13,51,0,1.79,US,1718607916
131,bodaybo,57.8506,114.1933,11.23,79,100,2.21,RU,1718607917
132,gimbi,9.1667,35.8333,17.92,80,80,0.94,ET,1718607919
133,brookings,44.3114,-96.7984,17.29,85,100,3.09,US,1718607824
134,bredasdorp,-34.5322,20.0403,16.18,46,77,2.82,ZA,1718607876
135,talnakh,69.4865,88.3972,5.11,63,100,2.16,RU,1718607914
136,mirny,62.5353,113.9611,16.8,36,91,1.79,RU,1718607887
137,celestun,20.8667,-90.4,25.38,90,100,6.01,MX,1718607924
138,fort bragg,35.139,-79.006,22.32,80,0,0.0,US,1718607716
139,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,89,75,6.0,RU,1718607926
140,lorengau,-2.0226,147.2712,28.2,82,98,4.83,PG,1718607929
141,rongelap,11.1635,166.8941,28.39,81,58,6.48,MH,1718607930
142,nova sintra,14.8667,-24.7167,23.5,85,78,3.43,CV,1718607931
143,ribeira grande,38.5167,-28.7,19.87,88,20,1.79,PT,1718607932
144,hohhot,40.8106,111.6522,30.16,20,0,4.0,CN,1718607933
145,san patricio,28.017,-97.5169,29.97,76,0,6.42,US,1718607934
146,laguna,38.421,-121.4238,23.16,52,0,2.06,US,1718607935
147,yola,9.2,12.4833,24.86,85,100,0.91,NG,1718607936
148,nema,57.5067,50.5011,23.21,49,74,4.03,RU,1718607938
149,dudinka,69.4058,86.1778,5.38,61,99,1.34,RU,1718607866
150,villa gesell,-37.2639,-56.973,11.7,74,0,4.25,AR,1718607940
151,coronel marcelino mariduena,-2.2,-79.4167,21.4,98,66,0.86,EC,1718607941
152,greymouth,-42.4667,171.2,7.74,92,55,3.92,NZ,1718607942
153,arraial do cabo,-22.9661,-42.0278,21.61,83,6,6.28,BR,1718607943
154,valparaiso,-33.0393,-71.6273,9.8,100,75,2.06,CL,1718607916
155,ilulissat,69.2167,-51.1,8.01,71,100,0.0,GL,1718607945
156,lobujya,27.95,86.8167,6.81,69,100,4.03,NP,1718607946
157,las tablas,7.7667,-80.2833,25.65,99,100,0.94,PA,1718607948
158,bostonia,42.3584,-71.0598,16.79,86,100,2.41,US,1718607949
159,rosario do sul,-30.2583,-54.9142,14.14,95,100,5.34,BR,1718607945
160,nova vicosa,-17.8919,-39.3719,21.66,87,0,1.27,BR,1718607707
161,coquimbo,-29.9533,-71.3436,11.85,92,100,3.6,CL,1718607952
162,keflavik,64.0049,-22.5624,8.95,100,75,3.09,IS,1718607953
163,punta arenas,-53.15,-70.9167,-5.94,86,0,4.12,CL,1718607669
164,stanley,54.868,-1.6985,12.38,89,20,3.6,GB,1718607897
165,malanville,11.8685,3.3899,27.74,69,92,4.78,BJ,1718607957
166,san antonio de pale,-1.4014,5.6325,25.02,80,95,5.58,GQ,1718607660
167,mount pearl,47.5166,-52.7813,6.92,96,20,2.57,CA,1718607959
168,geraldton,-28.7667,114.6,22.23,49,100,3.6,AU,1718607960
169,lompoc,34.6391,-120.4579,12.4,73,0,8.75,US,1718607961
170,fort myers shores,26.7092,-81.7459,26.67,95,0,3.09,US,1718607962
171,"laikit, laikit ii (dimembe)",1.4792,124.9735,23.47,94,40,2.06,ID,1718607963
172,naters,46.3254,7.9891,19.69,81,83,1.73,CH,1718607965
173,rio grande,-32.035,-52.0986,13.86,93,100,9.69,BR,1718607748
174,ola,59.5833,151.2833,15.08,75,100,3.96,RU,1718607968
175,tobol'sk,58.2,68.2667,20.89,59,89,5.36,RU,1718607915
176,trinity beach,-16.7888,145.6968,26.67,44,0,3.6,AU,1718607970
177,bondo,3.8146,23.6866,25.67,73,96,0.86,CD,1718607971
178,soio,-6.1349,12.3689,23.37,84,100,1.69,AO,1718607858
179,taiyuan,37.8694,112.5603,32.92,19,20,3.0,CN,1718607974
180,mejit,10.2753,170.8646,28.08,80,66,7.14,MH,1718607975
181,sanctuary point,-35.1114,150.629,14.86,65,81,8.13,AU,1718607976
182,cidreira,-30.1811,-50.2056,17.65,98,99,2.95,BR,1718607977
183,antsiranana,-12.2787,49.2917,29.34,57,20,8.2,MG,1718607978
184,jackson,42.4165,-122.8345,11.51,71,40,3.09,US,1718607979
185,klaksvik,62.2266,-6.589,8.51,93,100,10.37,FO,1718607980
186,nagqu,31.5,92.0,17.86,26,100,2.39,CN,1718607981
187,zhelezinka,53.54,75.3072,28.82,52,0,4.91,KZ,1718607982
188,awjilah,29.1081,21.2869,29.88,21,0,3.66,LY,1718607797
189,happy valley-goose bay,53.3168,-60.3315,10.17,93,75,5.66,CA,1718607985
190,alegrete,-29.7831,-55.7919,14.37,96,100,5.69,BR,1718607986
191,namtsy,62.7161,129.6658,19.62,54,100,1.95,RU,1718607987
192,salinas,36.6777,-121.6555,15.91,78,0,3.09,US,1718607988
193,fort st. john,56.2499,-120.8529,7.94,81,75,4.63,CA,1718607989
194,brokopondo,4.75,-55.1667,24.09,92,100,3.52,SR,1718607990
195,bredy,52.4153,60.3411,30.75,41,9,3.82,RU,1718607862
196,santa rosa del sur,7.9644,-74.0544,21.27,96,100,1.16,CO,1718607993
197,makurazaki,31.2667,130.3167,23.01,94,100,1.86,JP,1718607994
198,barnard castle,54.5415,-1.919,13.23,88,100,1.32,GB,1718607995
199,kodinsk,58.6881,99.1844,20.8,43,35,2.99,RU,1718607996
200,santa terezinha,-29.9002,-50.0904,17.81,97,100,2.8,BR,1718607997
201,nasarawa,8.5294,7.7242,24.62,77,98,0.61,NG,1718607998
202,iskateley,67.6803,53.1512,12.79,41,8,3.58,RU,1718607999
203,jalalabad,34.4265,70.4515,40.34,11,0,1.0,AF,1718608000
204,sao vicente,-23.9631,-46.3919,25.1,26,6,3.12,BR,1718608002
205,flying fish cove,-10.4217,105.6791,27.82,78,75,4.63,CX,1718608003
206,hasaki,35.7333,140.8333,26.27,79,100,5.54,JP,1718608004
207,port isabel,26.0734,-97.2086,29.45,78,20,5.66,US,1718608005
208,al jawf,29.5,38.75,36.26,9,5,2.86,SA,1718608006
